DATAFLOW,LAST UPDATE,freq,unit,tra_mode,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2005,3.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2006,3.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2007,4.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2008,3.6,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2009,3.6,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2010,4.0,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2011,3.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2012,3.7,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2013,3.9,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2014,3.5,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2015,2.8,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2016,3.0,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2017,2.9,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2018,2.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2019,2.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2020,2.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,AT,2021,2.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,BE,2005,13.5,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,BE,2006,13.6,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,BE,2007,13.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,BE,2008,13.5,
